Full Name,First Name,Last Name,Country,ID,Source,Team_2009,Team_2010,Team_2011,Team_2012,Team_2013,Team_2014,Team_2015,Team_2016,Team_2017,Team_2018,Team_2019
Alessandro DONATI,Alessandro,DONATI,ITA,ITA0033,"Giro d'Italia, 2010",ACQUA & SAPONE - CAFFE MOKAMBO,ACQUA & SAPONE - D'ANGELO & ANTENUCCI,,,,,,,,,
Markus FOTHEN,Markus,FOTHEN,GER,GER0002,"Giro d'Italia, 2010",TEAM MILRAM,TEAM MILRAM,,,,,,,,,
Edward KING,Edward,KING,USA,USA0004,"Tour de France, 2014",CERVELO TEST TEAM,CERVELO TEST TEAM,,,CANNONDALE PRO CYCLING,CANNONDALE,,,,,
Addy ENGELS,Addy,ENGELS,NED,NED0003,"Giro d'Italia, 2011",QUICK STEP,QUICK STEP,QUICKSTEP CYCLING TEAM,,,,,,,,
Paolo LONGO BORGHINI,Paolo,LONGO BORGHINI,ITA,ITA0034,"Tour de France, 2011",BARLOWORLD,,LIQUIGAS-CANNONDALE,LIQUIGAS-CANNONDALE,CANNONDALE PRO CYCLING,CANNONDALE,,,,,
Daniel LLOYD,Daniel,LLOYD,GBR,GBR0004,"Giro d'Italia, 2010",CERVELO TEST TEAM,CERVELO TEST TEAM,,,,,,,,,
Gonzalo RABUÑAL RIOS,Gonzalo,RABUÑAL RIOS,ESP,ESP0010,"Vuelta a España, 2010",XACOBEO GALICIA,XACOBEO GALICIA,,,,,,,,,
Yuri KRIVTSOV,Yuri,KRIVTSOV,UKR,UKR0005,"Tour de France, 2012",AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,LAMPRE - ISD,,,,,,,
Aleksandr SEROV,Aleksandr,SEROV,RUS,RUS0007,"Giro d'Italia, 2016",TEAM KATUSHA,,,,,,,GAZPROM-RUSVELO,,,
Riccardo CHIARINI,Riccardo,CHIARINI,ITA,ITA0035,"Giro d'Italia, 2009",,,,,,,,,,,
Allan DAVIS,Allan,DAVIS,AUS,AUS0003,"Vuelta a España, 2012",QUICK STEP,ASTANA,,ORICA GreenEDGE,,,,,,,
Mauro DA DALTO,Mauro,DA DALTO,ITA,ITA0036,"Vuelta a España, 2012",LAMPRE - N.G.C,LAMPRE-FARNESE VINI,LIQUIGAS-CANNONDALE,LIQUIGAS-CANNONDALE,,,,,,,
Alessandro PETACCHI,Alessandro,PETACCHI,ITA,ITA0037,"Tour de France, 2012",,LAMPRE-FARNESE VINI,LAMPRE - ISD,LAMPRE - ISD,,OMEGA PHARMA - QUICK-STEP CYCLING TEAM,SOUTHEAST,,,,
Diego CACCIA,Diego,CACCIA,ITA,ITA0038,"Giro d'Italia, 2009",BARLOWORLD,,,,,,,,,,
Matteo BONO,Matteo,BONO,ITA,ITA0039,"Tour de France, 2017",LAMPRE - N.G.C,LAMPRE-FARNESE VINI,LAMPRE - ISD,LAMPRE - ISD,LAMPRE-MERIDA,LAMPRE-MERIDA,LAMPRE - MERIDA,LAMPRE - MERIDA,UAE TEAM EMIRATES,,
Delio FERNANDEZ CRUZ,Delio,FERNANDEZ CRUZ,ESP,ESP0011,"Vuelta a España, 2010",XACOBEO GALICIA,XACOBEO GALICIA,,,,,,,,,
Pavel BRUTT,Pavel,BRUTT,RUS,RUS0008,"Vuelta a España, 2015",TEAM KATUSHA,TEAM KATUSHA,KATUSHA TEAM,KATUSHA TEAM,KATUSHA,,TINKOFF - SAXO,TINKOFF,GAZPROM - RUSVELO,,
Johann TSCHOPP,Johann,TSCHOPP,SUI,SUI0003,"Vuelta a España, 2014",BBOX BOUYGUES TELECOM,BBOX BOUYGUES TELECOM,BMC RACING TEAM,BMC RACING TEAM,,IAM CYCLING,,,,,
Michael BAHR,Michael,BAHR,CAN,CAN0001,"Giro d'Italia, 2011",TEAM COLUMBIA - HIGH ROAD,SKY PROFESSIONAL CYCLING TEAM,SKY PROCYCLING,,,,,,,,
Jonas LJUNGBLAD,Jonas,LJUNGBLAD,SWE,SWE0003,"Giro d'Italia, 2009",SILENCE-LOTTO,,,,,,,,,,
Guillaume LE FLOCH,Guillaume,LE FLOCH,FRA,FRA0009,"Giro d'Italia, 2010",BBOX BOUYGUES TELECOM,BBOX BOUYGUES TELECOM,,,,,,,,,
Pieter JACOBS,Pieter,JACOBS,BEL,BEL0009,"Giro d'Italia, 2009",SILENCE-LOTTO,,,,,,,,,,
Matthew GOSS,Matthew,GOSS,AUS,AUS0004,"Tour de France, 2011",TEAM SAXO BANK,TEAM HTC - COLUMBIA,HTC-HIGHROAD,ORICA GreenEDGE,ORICA GreenEDGE,,,,,,
Ben SWIFT,Ben,SWIFT,GBR,GBR0005,"Vuelta a España, 2012",TEAM KATUSHA,SKY PROFESSIONAL CYCLING TEAM,SKY PROCYCLING,SKY PROCYCLING,,TEAM SKY,,,UAE TEAM EMIRATES,,
Thomas FOTHEN,Thomas,FOTHEN,GER,GER0003,"Giro d'Italia, 2009",TEAM MILRAM,,,,,,,,,,
Tom STAMSNIJDER,Tom,STAMSNIJDER,NED,NED0004,"Vuelta a España, 2013",RABOBANK,RABOBANK,LEOPARD TREK,,TEAM ARGOS-SHIMANO,TEAM GIANT-SHIMANO,TEAM GIANT - ALPECIN,TEAM GIANT - ALPECIN,TEAM SUNWEB,,
Sebastien HINAULT,Sebastien,HINAULT,FRA,FRA0010,"Vuelta a España, 2014",AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,,IAM CYCLING,,,,,
Julian DEAN,Julian,DEAN,NZL,NZL0001,"Vuelta a España, 2012",GARMIN - SLIPSTREAM,GARMIN - TRANSITIONS,TEAM GARMIN-CERVELO,ORICA GreenEDGE,,,,,,,
Sergey KLIMOV,Sergey,KLIMOV,RUS,RUS0009,"Giro d'Italia, 2010",TEAM KATUSHA,TEAM KATUSHA,,,,,,,,,
Giairo ERMETI,Giairo,ERMETI,ITA,ITA0040,"Giro d'Italia, 2013",,,ANDRONI GIOCATTOLI - C.I.P.I,,ANDRONI GIOCATTOLI - VENEZUELA,,,,,,
Francesco REDA,Francesco,REDA,ITA,ITA0041,"Giro d'Italia, 2011",QUICK STEP,QUICK STEP,QUICKSTEP CYCLING TEAM,,,,,,,,
Björn SCHRÖDER,Björn,SCHRÖDER,GER,GER0004,"Vuelta a España, 2010",TEAM MILRAM,TEAM MILRAM,,,,,,,,,
Luca BARLA,Luca,BARLA,ITA,ITA0042,"Giro d'Italia, 2009",TEAM MILRAM,,,,,,,,,,
Serafin MARTINEZ,Serafin,MARTINEZ,ESP,ESP0012,"Vuelta a España, 2010",XACOBEO GALICIA,XACOBEO GALICIA,,,,,,,,,
Matteo MONTAGUTI,Matteo,MONTAGUTI,ITA,ITA0043,"Vuelta a España, 2013",,,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,ANDRONI GIOCATTOLI - SIDERMEC
Danny PATE,Danny,PATE,USA,USA0005,"Vuelta a España, 2012",GARMIN - SLIPSTREAM,,HTC-HIGHROAD,SKY PROCYCLING,SKY PROCYCLING,TEAM SKY,,,,,
Gustavo CESAR VELOSO,Gustavo,CESAR VELOSO,ESP,ESP0013,"Vuelta a España, 2012",XACOBEO GALICIA,XACOBEO GALICIA,,ANDALUCIA,,,,,,,
Jean-Charles SENAC,Jean-Charles,SENAC,FRA,FRA0011,"Giro d'Italia, 2009",AG2R LA MONDIALE,,,,,,,,,,
Kasper KLOSTERGAARD LARSEN,Kasper,KLOSTERGAARD LARSEN,DEN,DEN0002,"Vuelta a España, 2010",TEAM SAXO BANK,TEAM SAXO BANK,SAXO BANK SUNGARD,,,,,,,,
Juan José HAEDO,Juan José,HAEDO,ARG,ARG0001,"Vuelta a España, 2011",TEAM SAXO BANK,TEAM SAXO BANK,SAXO BANK SUNGARD,TEAM SAXO BANK,,,,,,,
Oscar GATTO,Oscar,GATTO,ITA,ITA0044,"Tour de France, 2016",ISD - NERI,,FARNESE VINI - NERI SOTTOLI,FARNESE VINI - SELLE ITALIA,VINI FANTINI - SELLE ITALIA,CANNONDALE,ANDRONI GIOCATTOLI - SIDERMEC,TINKOFF,,,
Jeremy HUNT,Jeremy,HUNT,GBR,GBR0006,"Tour de France, 2010",CERVELO TEST TEAM,CERVELO TEST TEAM,,SKY PROCYCLING,,,,,,,
Julien BELGY,Julien,BELGY,FRA,FRA0012,"Giro d'Italia, 2009",BBOX BOUYGUES TELECOM,,,,,,,,,,
David ZABRISKIE,David,ZABRISKIE,USA,USA0006,"Tour de France, 2012",GARMIN - SLIPSTREAM,GARMIN - TRANSITIONS,TEAM GARMIN-CERVELO,GARMIN - SHARP,,,,,,,
Bram DE GROOT,Bram,DE GROOT,NED,NED0005,"Giro d'Italia, 2009",RABOBANK,,,,,,,,,,
Robert HUNTER,Robert,HUNTER,RSA,RSA0002,"Tour de France, 2010",BARLOWORLD,GARMIN - TRANSITIONS,TEAM RADIOSHACK,GARMIN - BARRACUDA,GARMIN SHARP,,,,,,
Anders LUND,Anders,LUND,DEN,DEN0003,"Giro d'Italia, 2012",TEAM SAXO BANK,TEAM SAXO BANK,,TEAM SAXO BANK,,,,,,,
Davide VIGANO,Davide,VIGANO,ITA,ITA0045,"Tour de France, 2012",FUJI-SERVETTO,,LEOPARD TREK,LAMPRE - ISD,,,,,,,
Leonardo SCARSELLI,Leonardo,SCARSELLI,ITA,ITA0046,"Giro d'Italia, 2009",ISD - NERI,,,,,,,,,,
Giuseppe PALUMBO,Giuseppe,PALUMBO,ITA,ITA0047,"Giro d'Italia, 2009",ACQUA & SAPONE - CAFFE MOKAMBO,,,,,,,,,,
Olivier KAISEN,Olivier,KAISEN,BEL,BEL0010,"Giro d'Italia, 2012",SILENCE-LOTTO,OMEGA PHARMA-LOTTO,OMEGA PHARMA-LOTTO,LOTTO BELISOL TEAM,,,,,,,
Ian STANNARD,Ian,STANNARD,GBR,GBR0007,"Vuelta a España, 2019",ISD - NERI,SKY PROFESSIONAL CYCLING TEAM,SKY PROCYCLING,SKY PROCYCLING,SKY PROCYCLING,,TEAM SKY,TEAM SKY,TEAM SKY,,TEAM INEOS
Martin MÜLLER,Martin,MÜLLER,GER,GER0005,"Giro d'Italia, 2009",TEAM MILRAM,,,,,,,,,,
Robert FÖRSTER,Robert,FÖRSTER,GER,GER0006,"Giro d'Italia, 2010",TEAM MILRAM,TEAM MILRAM,,,,,,,,,
Saïd HADDOU,Saïd,HADDOU,FRA,FRA0013,"Giro d'Italia, 2009",BBOX BOUYGUES TELECOM,,,,,,,,,,
Vladimir ISAICHEV,Vladimir,ISAICHEV,RUS,RUS0010,"Vuelta a España, 2015",XACOBEO GALICIA,XACOBEO GALICIA,KATUSHA TEAM,,KATUSHA,TEAM KATUSHA,TEAM KATUSHA,,,,
Alberto FERNANDEZ DE LA PUEBLA RAMOS,Alberto,FERNANDEZ DE LA PUEBLA RAMOS,ESP,ESP0014,"Giro d'Italia, 2009",FUJI-SERVETTO,,,,,,,,,,
Jos VAN EMDEN,Jos,VAN EMDEN,NED,NED0006,"Tour de France, 2015",RABOBANK,RABOBANK,RABOBANK CYCLING TEAM,,,BELKIN-PRO CYCLING TEAM,TEAM LOTTO NL - JUMBO,TEAM LOTTO NL - JUMBO,TEAM LOTTO NL - JUMBO,TEAM LOTTO NL - JUMBO,TEAM JUMBO - VISMA
Mikhail IGNATYEV,Mikhail,IGNATYEV,RUS,RUS0011,"Tour de France, 2011",TEAM KATUSHA,TEAM KATUSHA,KATUSHA TEAM,KATUSHA TEAM,,,,,,,
Bart DOCKX,Bart,DOCKX,BEL,BEL0011,"Giro d'Italia, 2009",SILENCE-LOTTO,,,,,,,,,,
Evgeny SOKOLOV,Evgeny,SOKOLOV,RUS,RUS0012,"Giro d'Italia, 2009",BBOX BOUYGUES TELECOM,,,,,,,,,,
Danilo DI LUCA,Danilo,DI LUCA,ITA,ITA0048,"Giro d'Italia, 2013",,,KATUSHA TEAM,,VINI FANTINI - SELLE ITALIA,,,,,,
Franco PELLIZOTTI,Franco,PELLIZOTTI,ITA,ITA0049,"Tour de France, 2018",LIQUIGAS,,,,ANDRONI GIOCATTOLI - VENEZUELA,ANDRONI GIOCATTOLI - VENEZUELA,ANDRONI GIOCATTOLI - SIDERMEC,,BAHRAIN - MERIDA,BAHRAIN - MERIDA,
Tadej VALJAVEC,Tadej,VALJAVEC,SLO,SLO0004,"Giro d'Italia, 2009",AG2R LA MONDIALE,,,,,,,,,,
Lance ARMSTRONG,Lance,ARMSTRONG,USA,USA0007,"Tour de France, 2010",ASTANA,TEAM RADIOSHACK,,,,,,,,,
Leonardo BERTAGNOLLI,Leonardo,BERTAGNOLLI,ITA,ITA0050,"Tour de France, 2011",SERRAMENTI PVC DIQUIGIOVANNI-ANDRONI GIOCATTOLI,ANDRONI GIOCATTOLI - SERRAMENTI PVC DIQUIGIOVANNI,LAMPRE - ISD,,,,,,,,
Filippo POZZATO,Filippo,POZZATO,ITA,ITA0051,"Vuelta a España, 2014",TEAM KATUSHA,TEAM KATUSHA,,FARNESE VINI - SELLE ITALIA,LAMPRE-MERIDA,LAMPRE-MERIDA,LAMPRE - MERIDA,WILIER TRIESTINA - SOUTHEAST,WILIER TRIESTINA - SELLE ITALIA,,
Christian VANDEVELDE,Christian,VANDEVELDE,USA,USA0008,"Tour de France, 2011",GARMIN - SLIPSTREAM,GARMIN - TRANSITIONS,TEAM GARMIN-CERVELO,GARMIN - BARRACUDA,GARMIN SHARP,,,,,,
Jelle VANENDERT,Jelle,VANENDERT,BEL,BEL0012,"Vuelta a España, 2015",SILENCE-LOTTO,OMEGA PHARMA-LOTTO,OMEGA PHARMA-LOTTO,LOTTO BELISOL TEAM,LOTTO BELISOL,,LOTTO SOUDAL,LOTTO SOUDAL,,,
Eros CAPECCHI,Eros,CAPECCHI,ITA,ITA0052,"Giro d'Italia, 2019",FUJI-SERVETTO,FOOTON-SERVETTO,LIQUIGAS-CANNONDALE,LIQUIGAS-CANNONDALE,MOVISTAR TEAM,MOVISTAR TEAM,,ASTANA PRO TEAM,QUICK - STEP FLOORS,QUICK - STEP FLOORS,DECEUNINCK  -  QUICK - STEP
Iban MAYOZ ECHEVERRIA,Iban,MAYOZ ECHEVERRIA,ESP,ESP0015,"Giro d'Italia, 2010",XACOBEO GALICIA,FOOTON-SERVETTO,,,,,,,,,
Massimo CODOL,Massimo,CODOL,ITA,ITA0053,"Giro d'Italia, 2011",ACQUA & SAPONE - CAFFE MOKAMBO,ACQUA & SAPONE - D'ANGELO & ANTENUCCI,ACQUA & SAPONE,,,,,,,,
Mark CAVENDISH,Mark,CAVENDISH,GBR,GBR0008,"Tour de France, 2016",TEAM COLUMBIA - HIGH ROAD,TEAM HTC - COLUMBIA,HTC-HIGHROAD,SKY PROCYCLING,OMEGA PHARMA - QUICK-STEP CYCLING TEAM,OMEGA PHARMA - QUICK-STEP CYCLING TEAM,ETIXX - QUICK STEP,TEAM DIMENSION DATA,,,
Jesus DEL NERO MONTES,Jesus,DEL NERO MONTES,ESP,ESP0016,"Giro d'Italia, 2009",FUJI-SERVETTO,,,,,,,,,,
Christopher HORNER,Christopher,HORNER,USA,USA0009,"Vuelta a España, 2013",ASTANA,TEAM RADIOSHACK,TEAM RADIOSHACK,RADIOSHACK-NISSAN,RADIOSHACK LEOPARD,LAMPRE-MERIDA,,,,,
Juan Mauricio SOLER HERNANDEZ,Juan Mauricio,SOLER HERNANDEZ,COL,COL0004,"Giro d'Italia, 2009",BARLOWORLD,,,,,,,,,,
Julien LOUBET,Julien,LOUBET,FRA,FRA0014,"Giro d'Italia, 2009",AG2R LA MONDIALE,,,,,,,,,,
Ricardo SERRANO GONZALEZ,Ricardo,SERRANO GONZALEZ,ESP,ESP0017,"Giro d'Italia, 2009",FUJI-SERVETTO,,,,,,,,,,
Tyler FARRAR,Tyler,FARRAR,USA,USA0010,"Vuelta a España, 2016",GARMIN - SLIPSTREAM,GARMIN - TRANSITIONS,TEAM GARMIN-CERVELO,GARMIN - BARRACUDA,GARMIN SHARP,GARMIN SHARP,MTN - QHUBEKA,TEAM DIMENSION DATA,,,
Cameron MEYER,Cameron,MEYER,AUS,AUS0005,"Vuelta a España, 2015",GARMIN - SLIPSTREAM,GARMIN - TRANSITIONS,TEAM GARMIN-CERVELO,ORICA GreenEDGE,ORICA GreenEDGE,ORICA GreenEDGE,ORICA GreenEDGE,,,,
Pedro HORRILLO MUNOZ,Pedro,HORRILLO MUNOZ,ESP,ESP0018,"Giro d'Italia, 2009",RABOBANK,,,,,,,,,,
Steve CHAINEL,Steve,CHAINEL,FRA,FRA0015,"Vuelta a España, 2013",BBOX BOUYGUES TELECOM,,,,AG2R LA MONDIALE,,,,,,
Yohann GENE,Yohann,GENE,FRA,FRA0016,"Tour de France, 2017",BBOX BOUYGUES TELECOM,,TEAM EUROPCAR,TEAM EUROPCAR,TEAM EUROPCAR,TEAM EUROPCAR,TEAM EUROPCAR,DIRECT ENERGIE,DIRECT ENERGIE,,
David LOPEZ GARCIA,David,LOPEZ GARCIA,ESP,ESP0019,"Vuelta a España, 2017",CAISSE D'EPARGNE,CAISSE D'EPARGNE,MOVISTAR TEAM,,SKY PROCYCLING,TEAM SKY,,TEAM SKY,TEAM SKY,,
Davide MALACARNE,Davide,MALACARNE,ITA,ITA0054,"Vuelta a España, 2010",QUICK STEP,QUICK STEP,QUICKSTEP CYCLING TEAM,TEAM EUROPCAR,TEAM EUROPCAR,TEAM EUROPCAR,ASTANA PRO TEAM,ASTANA PRO TEAM,,,
Joaquim RODRIGUEZ OLIVER,Joaquim,RODRIGUEZ OLIVER,ESP,ESP0020,"Tour de France, 2016",CAISSE D'EPARGNE,TEAM KATUSHA,KATUSHA TEAM,KATUSHA TEAM,KATUSHA,TEAM KATUSHA,TEAM KATUSHA,TEAM KATUSHA,,,
Mark RENSHAW,Mark,RENSHAW,AUS,AUS0006,"Tour de France, 2016",TEAM COLUMBIA - HIGH ROAD,TEAM HTC - COLUMBIA,HTC-HIGHROAD,RABOBANK CYCLING TEAM,,OMEGA PHARMA - QUICK-STEP CYCLING TEAM,ETIXX - QUICK STEP,TEAM DIMENSION DATA,,,
Fabian CANCELLARA,Fabian,CANCELLARA,SUI,SUI0004,"Vuelta a España, 2013",TEAM SAXO BANK,TEAM SAXO BANK,LEOPARD TREK,RADIOSHACK-NISSAN,RADIOSHACK LEOPARD,TREK FACTORY RACING,TREK FACTORY RACING,TREK - SEGAFREDO,,,
Dario ANDRIOTTO,Dario,ANDRIOTTO,ITA,ITA0055,"Giro d'Italia, 2010",ACQUA & SAPONE - CAFFE MOKAMBO,ACQUA & SAPONE - D'ANGELO & ANTENUCCI,,,,,,,,,
Francisco PEREZ SANCHEZ,Francisco,PEREZ SANCHEZ,ESP,ESP0021,"Giro d'Italia, 2009",CAISSE D'EPARGNE,,,,,,,,,,
Ruslan PIDGORNYY,Ruslan,PIDGORNYY,UKR,UKR0006,"Vuelta a España, 2011",ISD - NERI,,VACANSOLEIL-DCM PRO CYCLING TEAM,,,,,,,,
Ronny SCHOLZ,Ronny,SCHOLZ,GER,GER0007,"Giro d'Italia, 2009",TEAM MILRAM,,,,,,,,,,
David GARCIA DA PENA,David,GARCIA DA PENA,ESP,ESP0022,"Vuelta a España, 2010",XACOBEO GALICIA,XACOBEO GALICIA,,,,,,,,,
David MILLAR,David,MILLAR,GBR,GBR0009,"Vuelta a España, 2014",GARMIN - SLIPSTREAM,GARMIN - TRANSITIONS,TEAM GARMIN-CERVELO,GARMIN - SHARP,GARMIN SHARP,GARMIN SHARP,,,,,
Matthias RUSS,Matthias,RUSS,GER,GER0008,"Giro d'Italia, 2010",TEAM MILRAM,TEAM MILRAM,,,,,,,,,
Vincenzo NIBALI,Vincenzo,NIBALI,ITA,ITA0056,"Vuelta a España, 2018",LIQUIGAS,LIQUIGAS-DOIMO,LIQUIGAS-CANNONDALE,LIQUIGAS-CANNONDALE,ASTANA PRO TEAM,ASTANA PRO TEAM,ASTANA PRO TEAM,ASTANA PRO TEAM,BAHRAIN - MERIDA,BAHRAIN - MERIDA,BAHRAIN - MERIDA
Cadel EVANS,Cadel,EVANS,AUS,AUS0007,"Tour de France, 2012",SILENCE-LOTTO,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,,,,,
Alexandr VINOKUROV,Alexandr,VINOKUROV,KAZ,KAZ0002,"Vuelta a España, 2009",ASTANA,ASTANA,PRO TEAM ASTANA,ASTANA PRO TEAM,,,,,,,
Richie PORTE,Richie,PORTE,AUS,AUS0008,"Vuelta a España, 2018",,TEAM SAXO BANK,SAXO BANK SUNGARD,SKY PROCYCLING,SKY PROCYCLING,TEAM SKY,TEAM SKY,BMC RACING TEAM,,BMC RACING TEAM,TREK - SEGAFREDO
Robert KIŠERLOVSKI,Robert,KIŠERLOVSKI,CRO,CRO0002,"Vuelta a España, 2009",FUJI-SERVETTO,LIQUIGAS-DOIMO,PRO TEAM ASTANA,ASTANA PRO TEAM,RADIOSHACK LEOPARD,TREK FACTORY RACING,,TINKOFF,TEAM KATUSHA ALPECIN,,
Bauke MOLLEMA,Bauke,MOLLEMA,NED,NED0007,"Tour de France, 2018",,RABOBANK,RABOBANK CYCLING TEAM,RABOBANK CYCLING TEAM,BELKIN-PRO CYCLING TEAM,BELKIN-PRO CYCLING TEAM,TREK FACTORY RACING,TREK - SEGAFREDO,TREK - SEGAFREDO,TREK - SEGAFREDO,TREK - SEGAFREDO
John GADRET,John,GADRET,FRA,FRA0017,"Vuelta a España, 2009",AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,MOVISTAR TEAM,,,,,
Vladimir KARPETS,Vladimir,KARPETS,RUS,RUS0013,"Tour de France, 2012",TEAM KATUSHA,TEAM KATUSHA,KATUSHA TEAM,MOVISTAR TEAM,MOVISTAR TEAM,,,,,,
Linus GERDEMANN,Linus,GERDEMANN,GER,GER0009,"Vuelta a España, 2012",TEAM MILRAM,TEAM MILRAM,LEOPARD TREK,RADIOSHACK-NISSAN,,,,,,,
Steven KRUIJSWIJK,Steven,KRUIJSWIJK,NED,NED0008,"Vuelta a España, 2017",,RABOBANK,RABOBANK CYCLING TEAM,RABOBANK CYCLING TEAM,BLANCO PRO CYCLING TEAM,BELKIN-PRO CYCLING TEAM,TEAM LOTTO NL - JUMBO,TEAM LOTTO NL - JUMBO,TEAM LOTTO NL - JUMBO,TEAM LOTTO NL - JUMBO,TEAM JUMBO - VISMA
Hubert DUPONT,Hubert,DUPONT,FRA,FRA0018,"Tour de France, 2009",AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE
Pieter WEENING,Pieter,WEENING,NED,NED0009,"Vuelta a España, 2009",RABOBANK,RABOBANK,RABOBANK CYCLING TEAM,ORICA GreenEDGE,ORICA GreenEDGE,ORICA GreenEDGE,ORICA GreenEDGE,,,,
Daniel MORENO FERNANDEZ,Daniel,MORENO FERNANDEZ,ESP,ESP0023,"Vuelta a España, 2018",CAISSE D'EPARGNE,OMEGA PHARMA-LOTTO,KATUSHA TEAM,KATUSHA TEAM,KATUSHA,TEAM KATUSHA,TEAM KATUSHA,MOVISTAR TEAM,MOVISTAR TEAM,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,
Chris Anker SØRENSEN,Chris Anker,SØRENSEN,DEN,DEN0004,"Vuelta a España, 2013",TEAM SAXO BANK,TEAM SAXO BANK,SAXO BANK SUNGARD,TEAM SAXO BANK-TINKOFF BANK,Team SAXO-TINKOFF,TINKOFF-SAXO,,FORTUNEO - VITAL CONCEPT,,,
Iurii TROFIMOV,Iurii,TROFIMOV,RUS,RUS0014,"Vuelta a España, 2016",BBOX BOUYGUES TELECOM,BBOX BOUYGUES TELECOM,KATUSHA TEAM,KATUSHA TEAM,KATUSHA,TEAM KATUSHA,TEAM KATUSHA,TINKOFF,,,
Laurent DIDIER,Laurent,DIDIER,LUX,LUX0001,"Vuelta a España, 2012",,TEAM SAXO BANK,SAXO BANK SUNGARD,RADIOSHACK-NISSAN,RADIOSHACK LEOPARD,,TREK FACTORY RACING,TREK - SEGAFREDO,,TREK - SEGAFREDO,
Rigoberto URAN,Rigoberto,URAN,COL,COL0005,"Vuelta a España, 2018",CAISSE D'EPARGNE,CAISSE D'EPARGNE,SKY PROCYCLING,SKY PROCYCLING,SKY PROCYCLING,OMEGA PHARMA - QUICK-STEP CYCLING TEAM,ETIXX - QUICK STEP,CANNONDALE PRO CYCLING TEAM,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,EF EDUCATION FIRST
Jan BAKELANTS,Jan,BAKELANTS,BEL,BEL0013,"Tour de France, 2017",,OMEGA PHARMA-LOTTO,OMEGA PHARMA-LOTTO,RADIOSHACK-NISSAN,RADIOSHACK LEOPARD,OMEGA PHARMA - QUICK-STEP CYCLING TEAM,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,,TEAM SUNWEB
Marcel WYSS,Marcel,WYSS,SUI,SUI0005,"Tour de France, 2015",,CERVELO TEST TEAM,GEOX-TMC,,,IAM CYCLING,IAM CYCLING,IAM CYCLING,,,
Branislau SAMOILAU,Branislau,SAMOILAU,BLR,BLR0003,"Giro d'Italia, 2017",,QUICK STEP,MOVISTAR TEAM,MOVISTAR TEAM,,,CCC SPRANDI POLKOWICE,,CCC SPRANDI POLKOWICE,,
Andrey AMADOR,Andrey,AMADOR,CRC,CRC0001,"Tour de France, 2018",,CAISSE D'EPARGNE,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM
Josep JUFRE POU,Josep,JUFRE POU,ESP,ESP0024,"Giro d'Italia, 2011",,ASTANA,PRO TEAM ASTANA,,,,,,,,
Giampaolo CARUSO,Giampaolo,CARUSO,ITA,ITA0057,"Tour de France, 2015",,TEAM KATUSHA,KATUSHA TEAM,KATUSHA TEAM,KATUSHA,TEAM KATUSHA,TEAM KATUSHA,,,,
Jose Cayetano SARMIENTO TUNARROSA,Jose Cayetano,SARMIENTO TUNARROSA,COL,COL0006,"Vuelta a España, 2012",,ACQUA & SAPONE - D'ANGELO & ANTENUCCI,ACQUA & SAPONE,LIQUIGAS-CANNONDALE,CANNONDALE PRO CYCLING,,,,,,
Markus EIBEGGER,Markus,EIBEGGER,AUT,AUT0002,"Giro d'Italia, 2010",,FOOTON-SERVETTO,,,,,,,,,
Daniele RIGHI,Daniele,RIGHI,ITA,ITA0058,"Tour de France, 2009",LAMPRE - N.G.C,LAMPRE-FARNESE VINI,LAMPRE - ISD,LAMPRE - ISD,,,,,,,
Matthew LLOYD,Matthew,LLOYD,AUS,AUS0009,"Tour de France, 2012",SILENCE-LOTTO,OMEGA PHARMA-LOTTO,,LAMPRE - ISD,,,,,,,
Alberto LOSADA ALGUACIL,Alberto,LOSADA ALGUACIL,ESP,ESP0025,"Tour de France, 2016",,CAISSE D'EPARGNE,KATUSHA TEAM,KATUSHA TEAM,KATUSHA,TEAM KATUSHA,TEAM KATUSHA,TEAM KATUSHA,TEAM KATUSHA ALPECIN,,
