Full Name,First Name,Last Name,Country,ID,Source,Team_2009,Team_2010,Team_2011,Team_2012,Team_2013,Team_2014,Team_2015,Team_2016,Team_2017,Team_2018,Team_2019
Dmytro GRABOVSKYY,Dmytro,GRABOVSKYY,UKR,UKR0004,"Giro d'Italia, 2009",ISD - NERI,,,,,,,,,,
Rubens BERTOGLIATI,Rubens,BERTOGLIATI,SUI,SUI0001,"Giro d'Italia, 2010",SERRAMENTI PVC DIQUIGIOVANNI-ANDRONI GIOCATTOLI,ANDRONI GIOCATTOLI - SERRAMENTI PVC DIQUIGIOVANNI,,,,,,,,,
Francesco GAVAZZI,Francesco,GAVAZZI,ITA,ITA0018,"Vuelta a España, 2011",LAMPRE - N.G.C,LAMPRE-FARNESE VINI,LAMPRE - ISD,,ASTANA PRO TEAM,,SOUTHEAST,,,ANDRONI GIOCATTOLI - SIDERMEC,ANDRONI GIOCATTOLI - SIDERMEC
Christophe BRANDT,Christophe,BRANDT,BEL,BEL0004,"Giro d'Italia, 2009",SILENCE-LOTTO,,,,,,,,,,
Bradley WIGGINS,Bradley,WIGGINS,GBR,GBR0002,"Tour de France, 2012",GARMIN - SLIPSTREAM,SKY PROFESSIONAL CYCLING TEAM,SKY PROCYCLING,SKY PROCYCLING,SKY PROCYCLING,,,,,,
Mathieu PERGET,Mathieu,PERGET,FRA,FRA0003,"Vuelta a España, 2011",CAISSE D'EPARGNE,CAISSE D'EPARGNE,AG2R LA MONDIALE,AG2R LA MONDIALE,,,,,,,
Vasil KIRYIENKA,Vasil,KIRYIENKA,BLR,BLR0002,"Tour de France, 2016",CAISSE D'EPARGNE,CAISSE D'EPARGNE,MOVISTAR TEAM,MOVISTAR TEAM,SKY PROCYCLING,TEAM SKY,TEAM SKY,TEAM SKY,TEAM SKY,,
Alessandro SPEZIALETTI,Alessandro,SPEZIALETTI,ITA,ITA0019,"Giro d'Italia, 2012",,LAMPRE-FARNESE VINI,LAMPRE - ISD,LAMPRE - ISD,,,,,,,
Matthieu SPRICK,Matthieu,SPRICK,FRA,FRA0004,"Tour de France, 2012",BBOX BOUYGUES TELECOM,BBOX BOUYGUES TELECOM,,TEAM ARGOS - SHIMANO,,,,,,,
Giovanni VISCONTI,Giovanni,VISCONTI,ITA,ITA0020,"Vuelta a España, 2017",ISD - NERI,,FARNESE VINI - NERI SOTTOLI,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,BAHRAIN - MERIDA,BAHRAIN - MERIDA,
